"Node ID","Degree","Betweenness Centrality","Eigenvector Centrality","Clustering Coefficient"
"Dudley, Dorothy","15","0.0003 (86)","0.0447 (80)","0.6000 (266)"
"M. H. P.","22","0.0003 (87)","0.0564 (61)","0.7489 (225)"
"Comfort, Will Levington","26","0.0003 (88)","0.0825 (34)","0.7200 (232)"
"The Scavanger'","22","0.0003 (89)","0.0705 (41)","0.7359 (227)"
"Sell, Henry Blackman","24","0.0003 (90)","0.0588 (60)","0.6920 (241)"
"Gabirol, Ibn","23","0.0003 (91)","0.0701 (42)","0.6996 (236)"
"E. P.","21","0.0004 (75)","0.0506 (71)","0.5857 (272)"
"Lawrence, D. H.","15","0.0004 (76)","0.0487 (74)","0.6000 (267)"
"Fuller, Henry B.","15","0.0004 (77)","0.0420 (88)","0.5524 (282)"
"Ciolkowska, Muriel","13","0.0004 (78)","0.0487 (73)","0.7564 (222)"
"Conkling, Hilda","10","0.0004 (79)","0.0285 (145)","0.5778 (274)"
"Lee, Agnes","16","0.0004 (80)","0.0498 (72)","0.5750 (275)"
"Winters, Yvor","10","0.0004 (81)","0.0193 (189)","0.4444 (301)"
"Solon, Israel","24","0.0004 (82)","0.0631 (55)","0.6304 (255)"
"Ridge, Lola","13","0.0005 (72)","0.0318 (128)","0.5256 (286)"
"Deutsch, Babette","13","0.0005 (73)","0.0448 (78)","0.6154 (260)"
"Wing, DeWitt C.","27","0.0005 (74)","0.0640 (53)","0.6268 (256)"
"Shanafelt, Clara","11","0.0006 (68)","0.0433 (84)","0.6545 (253)"
"Schneider, Isidor","14","0.0006 (69)","0.0286 (144)","0.4725 (298)"
"Lewis, Wyndham","24","0.0006 (70)","0.0519 (70)","0.4493 (300)"
"M. A. S.","14","0.0006 (71)","0.0550 (65)","0.8132 (208)"
"Aldis, Mary","19","0.0007 (63)","0.0638 (54)","0.5848 (273)"
"Tagore, Rabindranath","10","0.0007 (64)","0.0395 (98)","0.6667 (250)"
"Hartley, Marsden","19","0.0007 (65)","0.0646 (52)","0.7251 (230)"
"Cannéll, Skipwith","15","0.0007 (66)","0.0556 (62)","0.6952 (238)"
"Jones, Llewellyn","30","0.0007 (67)","0.0791 (36)","0.6115 (261)"
"Eliot, T. S.","12","0.0008 (62)","0.0368 (105)","0.5152 (289)"
"Groff, Alice","24","0.0009 (58)","0.0708 (40)","0.5507 (283)"
